season,team,odds_preseason_first,odds_preseason_last,champion
2008-09,Orlando Magic,2000,2000,0
2008-09,Cleveland Cavaliers,1000,1000,0
2008-09,Denver Nuggets,5000,5000,0
2008-09,Boston Celtics,350,350,0
2008-09,Portland Trail Blazers,3000,3000,0
2008-09,San Antonio Spurs,800,800,0
2008-09,Houston Rockets,1200,1200,0
2008-09,New Orleans Hornets,1000,1000,0
2008-09,Dallas Mavericks,2000,2000,0
2008-09,Atlanta Hawks,10000,10000,0
2008-09,Miami Heat,3500,3500,0
2008-09,Utah Jazz,1200,1200,0
2008-09,Philadelphia 76ers,2500,2500,0
2008-09,Chicago Bulls,3000,3000,0
2008-09,Detroit Pistons,1000,1000,0
2008-09,Phoenix Suns,1500,1500,0
2008-09,Toronto Raptors,3500,3500,0
2008-09,Washington Wizards,6000,6000,0
2008-09,Los Angeles Clippers,8000,8000,0
2008-09,Golden State Warriors,10000,10000,0
2008-09,Indiana Pacers,10000,10000,0
2008-09,New Jersey Nets,10000,10000,0
2008-09,New York Knicks,10000,10000,0
2008-09,Charlotte Bobcats,12500,12500,0
2008-09,Milwaukee Bucks,15000,15000,0
2008-09,Minnesota Timberwolves,15000,15000,0
2008-09,Oklahoma City Thunder,20000,20000,0
2008-09,Sacramento Kings,20000,20000,0
2008-09,Memphis Grizzlies,25000,25000,0
2009-10,Los Angeles Lakers,250,225,1
2009-10,Boston Celtics,500,450,0
2009-10,Orlando Magic,700,1000,0
2009-10,Phoenix Suns,5000,6600,0
2009-10,Cleveland Cavaliers,300,300,0
2009-10,San Antonio Spurs,1500,1000,0
2009-10,Utah Jazz,2000,2500,0
2009-10,Atlanta Hawks,5000,5000,0
2009-10,Dallas Mavericks,4000,2500,0
2009-10,Denver Nuggets,1200,1500,0
2009-10,Oklahoma City Thunder,10000,12500,0
2009-10,Portland Trail Blazers,2000,2000,0
2009-10,Miami Heat,5000,4000,0
2009-10,Charlotte Bobcats,10000,12500,0
2009-10,Milwaukee Bucks,10000,20000,0
2009-10,Chicago Bulls,5000,5000,0
2009-10,Toronto Raptors,10000,6600,0
2009-10,Houston Rockets,1500,4000,0
2009-10,New Orleans Hornets,4000,5000,0
2009-10,Memphis Grizzlies,10000,15000,0
2009-10,Philadelphia 76ers,6000,6600,0
2009-10,Detroit Pistons,5000,3300,0
2009-10,Washington Wizards,10000,8000,0
2009-10,Indiana Pacers,10000,10000,0
2009-10,Los Angeles Clippers,10000,15000,0
2009-10,Sacramento Kings,10000,25000,0
2009-10,New York Knicks,10000,6600,0
2009-10,Golden State Warriors,10000,12500,0
2009-10,Minnesota Timberwolves,10000,20000,0
2009-10,New Jersey Nets,10000,12500,0
2010-11,Dallas Mavericks,3000,2000,1
2010-11,Miami Heat,175,175,0
2010-11,Chicago Bulls,1600,1400,0
2010-11,Oklahoma City Thunder,2200,1600,0
2010-11,Los Angeles Lakers,300,250,0
2010-11,Boston Celtics,1000,1000,0
2010-11,Memphis Grizzlies,10000,10000,0
2010-11,Atlanta Hawks,8000,4000,0
2010-11,San Antonio Spurs,4000,2500,0
2010-11,Orlando Magic,1600,1000,0
2010-11,New York Knicks,8000,4000,0
2010-11,Denver Nuggets,3000,2500,0
2010-11,Portland Trail Blazers,4000,2800,0
2010-11,Philadelphia 76ers,8000,10000,0
2010-11,New Orleans Hornets,8000,6600,0
2010-11,Indiana Pacers,10000,15000,0
2010-11,Houston Rockets,4000,4000,0
2010-11,Charlotte Bobcats,8000,6600,0
2010-11,Milwaukee Bucks,8500,4000,0
2010-11,Utah Jazz,7500,4000,0
2010-11,Phoenix Suns,6000,5000,0
2010-11,Golden State Warriors,10000,15000,0
2010-11,Detroit Pistons,10000,10000,0
2010-11,New Jersey Nets,10000,10000,0
2010-11,Los Angeles Clippers,10000,10000,0
2010-11,Cleveland Cavaliers,2250,10000,0
2010-11,Washington Wizards,8500,5000,0
2010-11,Toronto Raptors,12500,20000,0
2010-11,Sacramento Kings,12500,15000,0
2010-11,Minnesota Timberwolves,12500,20000,0
2011-12,Miami Heat,225,225,1
2011-12,Oklahoma City Thunder,700,700,0
2011-12,San Antonio Spurs,3300,3300,0
2011-12,Boston Celtics,1600,1600,0
2011-12,Los Angeles Lakers,450,450,0
2011-12,Los Angeles Clippers,2000,2000,0
2011-12,Indiana Pacers,6600,6600,0
2011-12,Philadelphia 76ers,12500,12500,0
2011-12,Chicago Bulls,550,550,0
2011-12,Memphis Grizzlies,2500,2500,0
2011-12,Dallas Mavericks,850,850,0
2011-12,New York Knicks,1600,1600,0
2011-12,Denver Nuggets,6600,6600,0
2011-12,Atlanta Hawks,5000,5000,0
2011-12,Orlando Magic,2500,2500,0
2011-12,Utah Jazz,10000,10000,0
2011-12,Houston Rockets,6600,6600,0
2011-12,Milwaukee Bucks,12500,12500,0
2011-12,Portland Trail Blazers,3300,3300,0
2011-12,New Jersey Nets,4000,4000,0
2011-12,New Orleans Hornets,15000,15000,0
2011-12,Phoenix Suns,10000,10000,0
2011-12,Golden State Warriors,12500,12500,0
2011-12,Washington Wizards,15000,15000,0
2011-12,Detroit Pistons,20000,20000,0
2011-12,Minnesota Timberwolves,20000,20000,0
2011-12,Sacramento Kings,20000,20000,0
2011-12,Charlotte Bobcats,20000,20000,0
2011-12,Toronto Raptors,25000,25000,0
2011-12,Cleveland Cavaliers,20000,20000,0
2012-13,Miami Heat,250,225,1
2012-13,San Antonio Spurs,700,1600,0
2012-13,Memphis Grizzlies,3000,3300,0
2012-13,Indiana Pacers,2000,3300,0
2012-13,Oklahoma City Thunder,250,450,0
2012-13,New York Knicks,6000,3300,0
2012-13,Golden State Warriors,10000,15000,0
2012-13,Chicago Bulls,500,1200,0
2012-13,Los Angeles Clippers,3000,2200,0
2012-13,Denver Nuggets,3000,5000,0
2012-13,Los Angeles Lakers,1200,275,0
2012-13,Brooklyn Nets,10000,2800,0
2012-13,Boston Celtics,2000,2000,0
2012-13,Atlanta Hawks,6000,8000,0
2012-13,Houston Rockets,10000,6600,0
2012-13,Milwaukee Bucks,10000,10000,0
2012-13,Utah Jazz,10000,10000,0
2012-13,Dallas Mavericks,1500,3300,0
2012-13,Portland Trail Blazers,10000,10000,0
2012-13,Philadelphia 76ers,6000,5000,0
2012-13,Toronto Raptors,10000,25000,0
2012-13,Detroit Pistons,10000,20000,0
2012-13,Minnesota Timberwolves,10000,8000,0
2012-13,Orlando Magic,3000,15000,0
2012-13,Phoenix Suns,10000,15000,0
2012-13,New Orleans Hornets,10000,15000,0
2012-13,Sacramento Kings,10000,25000,0
2012-13,Cleveland Cavaliers,10000,20000,0
2012-13,Charlotte Bobcats,10000,50000,0
2012-13,Washington Wizards,10000,20000,0
2013-14,San Antonio Spurs,1000,1200,1
2013-14,Miami Heat,250,200,0
2013-14,Oklahoma City Thunder,600,550,0
2013-14,Indiana Pacers,1500,1400,0
2013-14,Los Angeles Clippers,1800,1400,0
2013-14,Brooklyn Nets,5000,1200,0
2013-14,Portland Trail Blazers,15000,8000,0
2013-14,Washington Wizards,15000,10000,0
2013-14,Houston Rockets,2000,1200,0
2013-14,Golden State Warriors,3500,2500,0
2013-14,Chicago Bulls,1000,1000,0
2013-14,Toronto Raptors,15000,15000,0
2013-14,Memphis Grizzlies,2500,2800,0
2013-14,Dallas Mavericks,4000,4000,0
2013-14,Atlanta Hawks,7500,6600,0
2013-14,Charlotte Bobcats,50000,30000,0
2013-14,Phoenix Suns,40000,20000,0
2013-14,New York Knicks,2500,2200,0
2013-14,Minnesota Timberwolves,10000,10000,0
2013-14,Cleveland Cavaliers,15000,6600,0
2013-14,Detroit Pistons,40000,12500,0
2013-14,Boston Celtics,5000,10000,0
2013-14,Denver Nuggets,3500,3300,0
2013-14,New Orleans Pelicans,15000,10000,0
2013-14,Orlando Magic,50000,30000,0
2013-14,Los Angeles Lakers,3000,2500,0
2013-14,Philadelphia 76ers,15000,10000,0
2013-14,Sacramento Kings,15000,15000,0
2013-14,Utah Jazz,15000,8000,0
2013-14,Milwaukee Bucks,15000,15000,0
2014-15,Golden State Warriors,2500,2800,1
2014-15,Cleveland Cavaliers,3300,275,0
2014-15,Atlanta Hawks,7500,12500,0
2014-15,Houston Rockets,1600,2200,0
2014-15,Chicago Bulls,1200,700,0
2014-15,Los Angeles Clippers,900,900,0
2014-15,Memphis Grizzlies,3300,5500,0
2014-15,Washington Wizards,3300,3000,0
2014-15,San Antonio Spurs,500,350,0
2014-15,Portland Trail Blazers,2500,5000,0
2014-15,Dallas Mavericks,3300,2500,0
2014-15,Toronto Raptors,4000,5000,0
2014-15,New Orleans Pelicans,5000,7500,0
2014-15,Milwaukee Bucks,20000,25000,0
2014-15,Brooklyn Nets,3000,6000,0
2014-15,Boston Celtics,5000,15000,0
2014-15,Oklahoma City Thunder,600,600,0
2014-15,Miami Heat,300,4500,0
2014-15,Indiana Pacers,1200,8000,0
2014-15,Charlotte Hornets,7500,8500,0
2014-15,Detroit Pistons,5000,25000,0
2014-15,Phoenix Suns,7500,8500,0
2014-15,Sacramento Kings,15000,25000,0
2014-15,Denver Nuggets,5000,12500,0
2014-15,New York Knicks,4000,5500,0
2014-15,Utah Jazz,15000,25000,0
2014-15,Los Angeles Lakers,4000,10000,0
2014-15,Orlando Magic,15000,25000,0
2014-15,Minnesota Timberwolves,6500,25000,0
2014-15,Philadelphia 76ers,20000,50000,0
2015-16,Cleveland Cavaliers,300,280,1
2015-16,Golden State Warriors,550,480,0
2015-16,Oklahoma City Thunder,600,750,0
2015-16,Toronto Raptors,4000,6600,0
2015-16,San Antonio Spurs,1100,500,0
2015-16,Atlanta Hawks,2500,3600,0
2015-16,Miami Heat,4000,4000,0
2015-16,Portland Trail Blazers,4000,30000,0
2015-16,Los Angeles Clippers,1100,1200,0
2015-16,Boston Celtics,6500,15500,0
2015-16,Charlotte Hornets,20000,35000,0
2015-16,Indiana Pacers,3000,9000,0
2015-16,Detroit Pistons,10000,25000,0
2015-16,Houston Rockets,1800,1500,0
2015-16,Dallas Mavericks,4000,12000,0
2015-16,Memphis Grizzlies,3000,3300,0
2015-16,Chicago Bulls,1200,1600,0
2015-16,Washington Wizards,2500,5500,0
2015-16,Utah Jazz,10000,15000,0
2015-16,Orlando Magic,25000,50000,0
2015-16,Sacramento Kings,10000,30000,0
2015-16,New York Knicks,8500,24000,0
2015-16,Milwaukee Bucks,7500,6800,0
2015-16,New Orleans Pelicans,2500,3300,0
2015-16,Denver Nuggets,10000,30000,0
2015-16,Minnesota Timberwolves,20000,30000,0
2015-16,Phoenix Suns,10000,30000,0
2015-16,Brooklyn Nets,10000,30000,0
2015-16,Los Angeles Lakers,7500,20000,0
2015-16,Philadelphia 76ers,25000,100000,0
2016-17,Golden State Warriors,215,-128,1
2016-17,Cleveland Cavaliers,280,385,0
2016-17,San Antonio Spurs,525,925,0
2016-17,Boston Celtics,1250,2900,0
2016-17,Houston Rockets,5000,16000,0
2016-17,Washington Wizards,6500,16000,0
2016-17,Toronto Raptors,2500,5500,0
2016-17,Utah Jazz,4500,10000,0
2016-17,Los Angeles Clippers,950,3500,0
2016-17,Oklahoma City Thunder,600,6000,0
2016-17,Atlanta Hawks,3300,10000,0
2016-17,Memphis Grizzlies,6500,8800,0
2016-17,Milwaukee Bucks,12500,18000,0
2016-17,Portland Trail Blazers,7500,13000,0
2016-17,Chicago Bulls,4000,9000,0
2016-17,Indiana Pacers,7500,8000,0
2016-17,Miami Heat,1200,17500,0
2016-17,Denver Nuggets,25000,50000,0
2016-17,Detroit Pistons,7500,14000,0
2016-17,Charlotte Hornets,10000,55000,0
2016-17,New Orleans Pelicans,6500,14500,0
2016-17,New York Knicks,4000,7500,0
2016-17,Minnesota Timberwolves,4500,10000,0
2016-17,Dallas Mavericks,10000,39000,0
2016-17,Sacramento Kings,25000,50000,0
2016-17,Philadelphia 76ers,50000,50000,0
2016-17,Los Angeles Lakers,10000,39000,0
2016-17,Orlando Magic,15000,22500,0
2016-17,Phoenix Suns,50000,85000,0
2016-17,Brooklyn Nets,50000,135000,0
2017-18,Golden State Warriors,-168,-187,1
2017-18,Cleveland Cavaliers,335,515,0
2017-18,Houston Rockets,3300,2150,0
2017-18,Boston Celtics,1350,1200,0
2017-18,Toronto Raptors,6600,15000,0
2017-18,Philadelphia 76ers,12500,19000,0
2017-18,Utah Jazz,15000,25000,0
2017-18,New Orleans Pelicans,8000,22000,0
2017-18,Oklahoma City Thunder,7500,2150,0
2017-18,Portland Trail Blazers,15000,31500,0
2017-18,San Antonio Spurs,1250,1800,0
2017-18,Washington Wizards,5000,9000,0
2017-18,Minnesota Timberwolves,15000,5000,0
2017-18,Milwaukee Bucks,6600,8000,0
2017-18,Indiana Pacers,15000,125000,0
2017-18,Miami Heat,12500,24000,0
2017-18,Los Angeles Clippers,5000,19000,0
2017-18,Denver Nuggets,12500,20000,0
2017-18,Detroit Pistons,30000,63000,0
2017-18,Charlotte Hornets,40000,50000,0
2017-18,New York Knicks,30000,100000,0
2017-18,Los Angeles Lakers,20000,30000,0
2017-18,Memphis Grizzlies,12500,37000,0
2017-18,Chicago Bulls,15000,250000,0
2017-18,Orlando Magic,100000,250000,0
2017-18,Dallas Mavericks,25000,50000,0
2017-18,Atlanta Hawks,30000,200000,0
2017-18,Brooklyn Nets,100000,250000,0
2017-18,Sacramento Kings,100000,125000,0
2017-18,Phoenix Suns,75000,125000,0
2018-19,Toronto Raptors,6600,1850,1
2018-19,Golden State Warriors,125,-168,0
2018-19,Milwaukee Bucks,8500,10000,0
2018-19,Portland Trail Blazers,10000,30000,0
2018-19,Houston Rockets,375,1000,0
2018-19,Boston Celtics,600,620,0
2018-19,Philadelphia 76ers,650,2000,0
2018-19,Denver Nuggets,10000,20000,0
2018-19,Oklahoma City Thunder,8000,3800,0
2018-19,Utah Jazz,7500,10000,0
2018-19,San Antonio Spurs,2300,10000,0
2018-19,Los Angeles Clippers,12500,40000,0
2018-19,Indiana Pacers,10000,12500,0
2018-19,Orlando Magic,50000,75000,0
2018-19,Detroit Pistons,30000,35000,0
2018-19,Brooklyn Nets,50000,125000,0
2018-19,Miami Heat,6600,35000,0
2018-19,Charlotte Hornets,50000,50000,0
2018-19,Los Angeles Lakers,1000,1800,0
2018-19,Sacramento Kings,50000,200000,0
2018-19,Minnesota Timberwolves,8000,25000,0
2018-19,New Orleans Pelicans,10000,10000,0
2018-19,Dallas Mavericks,50000,35000,0
2018-19,Washington Wizards,10000,11000,0
2018-19,Memphis Grizzlies,50000,65000,0
2018-19,New York Knicks,50000,35000,0
2018-19,Chicago Bulls,50000,50000,0
2018-19,Cleveland Cavaliers,3500,50000,0
2018-19,Phoenix Suns,50000,75000,0
2018-19,Atlanta Hawks,50000,150000,0
2019-20,Los Angeles Lakers,1800,450,1
2019-20,Miami Heat,35000,6000,0
2019-20,Boston Celtics,1500,2900,0
2019-20,Denver Nuggets,2250,2000,0
2019-20,Los Angeles Clippers,1200,425,0
2019-20,Milwaukee Bucks,600,550,0
2019-20,Toronto Raptors,2000,5500,0
2019-20,Houston Rockets,1200,700,0
2019-20,Portland Trail Blazers,5000,3500,0
2019-20,Philadelphia 76ers,1800,775,0
2019-20,Dallas Mavericks,5000,10500,0
2019-20,Oklahoma City Thunder,4000,25000,0
2019-20,Utah Jazz,4500,1300,0
2019-20,Orlando Magic,10000,20000,0
2019-20,Indiana Pacers,8000,5000,0
2019-20,Brooklyn Nets,2500,5500,0
2019-20,New Orleans Pelicans,5000,12500,0
2019-20,Memphis Grizzlies,15000,100000,0
2019-20,San Antonio Spurs,7000,6000,0
2019-20,Sacramento Kings,10000,15000,0
2019-20,Phoenix Suns,50000,50000,0
2019-20,Washington Wizards,50000,125000,0
2019-20,Minnesota Timberwolves,30000,50000,0
2019-20,Detroit Pistons,50000,25000,0
2019-20,Golden State Warriors,200,950,0
2019-20,Chicago Bulls,10000,42500,0
2019-20,Charlotte Hornets,50000,200000,0
2019-20,Atlanta Hawks,10000,25000,0
2019-20,Cleveland Cavaliers,30000,150000,0
2019-20,New York Knicks,1600,100000,0
2020-21,Milwaukee Bucks,500,550,1
2020-21,Phoenix Suns,10000,4000,0
2020-21,Los Angeles Clippers,500,650,0
2020-21,Atlanta Hawks,15000,10000,0
2020-21,Brooklyn Nets,900,600,0
2020-21,Utah Jazz,5000,4000,0
2020-21,Philadelphia 76ers,2500,2000,0
2020-21,Denver Nuggets,2000,1800,0
2020-21,Los Angeles Lakers,400,275,0
2020-21,Dallas Mavericks,2000,2500,0
2020-21,Portland Trail Blazers,4000,4000,0
2020-21,Miami Heat,900,1800,0
2020-21,New York Knicks,50000,50000,0
2020-21,Boston Celtics,1000,1400,0
2020-21,Washington Wizards,20000,10000,0
2020-21,Memphis Grizzlies,20000,15000,0
2020-21,Indiana Pacers,10000,10000,0
2020-21,Toronto Raptors,1600,3000,0
2020-21,Golden State Warriors,800,2500,0
2020-21,New Orleans Pelicans,6500,6500,0
2020-21,San Antonio Spurs,25000,25000,0
2020-21,Charlotte Hornets,50000,25000,0
2020-21,Chicago Bulls,20000,25000,0
2020-21,Sacramento Kings,25000,25000,0
2020-21,Houston Rockets,2500,5000,0
2020-21,Orlando Magic,15000,20000,0
2020-21,Oklahoma City Thunder,8000,20000,0
2020-21,Minnesota Timberwolves,50000,20000,0
2020-21,Cleveland Cavaliers,50000,50000,0
2020-21,Detroit Pistons,50000,50000,0
2021-22,Golden State Warriors,1200,900,1
2021-22,Boston Celtics,4000,4000,0
2021-22,Miami Heat,3500,2500,0
2021-22,Dallas Mavericks,3000,3000,0
2021-22,Phoenix Suns,1400,1500,0
2021-22,Milwaukee Bucks,800,900,0
2021-22,Memphis Grizzlies,15000,10000,0
2021-22,Philadelphia 76ers,1600,1600,0
2021-22,Brooklyn Nets,225,240,0
2021-22,Utah Jazz,1200,1600,0
2021-22,Denver Nuggets,2000,2200,0
2021-22,Minnesota Timberwolves,25000,25000,0
2021-22,Toronto Raptors,10000,15000,0
2021-22,Chicago Bulls,12500,6600,0
2021-22,Atlanta Hawks,3500,3500,0
2021-22,New Orleans Pelicans,12500,10000,0
2021-22,Los Angeles Clippers,1800,1600,0
2021-22,Cleveland Cavaliers,50000,50000,0
2021-22,Los Angeles Lakers,450,400,0
2021-22,Charlotte Hornets,20000,10000,0
2021-22,Sacramento Kings,25000,25000,0
2021-22,San Antonio Spurs,25000,30000,0
2021-22,Portland Trail Blazers,4000,5000,0
2021-22,Indiana Pacers,10000,10000,0
2021-22,New York Knicks,8000,8000,0
2021-22,Washington Wizards,15000,15000,0
2021-22,Houston Rockets,50000,50000,0
2021-22,Detroit Pistons,50000,50000,0
2021-22,Oklahoma City Thunder,50000,50000,0
2021-22,Orlando Magic,50000,50000,0
2022-23,Denver Nuggets,1400,1800,1
2022-23,Miami Heat,1400,1600,0
2022-23,Boston Celtics,650,500,0
2022-23,Los Angeles Lakers,1400,1800,0
2022-23,Phoenix Suns,900,1000,0
2022-23,Golden State Warriors,550,600,0
2022-23,Philadelphia 76ers,1400,1400,0
2022-23,New York Knicks,25000,6600,0
2022-23,Milwaukee Bucks,800,650,0
2022-23,Memphis Grizzlies,1400,2000,0
2022-23,Cleveland Cavaliers,10000,3000,0
2022-23,Los Angeles Clippers,700,700,0
2022-23,Sacramento Kings,75000,50000,0
2022-23,Minnesota Timberwolves,6600,2800,0
2022-23,Atlanta Hawks,8000,5000,0
2022-23,Brooklyn Nets,700,700,0
2022-23,Dallas Mavericks,1400,2500,0
2022-23,Toronto Raptors,6600,4000,0
2022-23,New Orleans Pelicans,4000,4000,0
2022-23,Chicago Bulls,6600,4000,0
2022-23,Oklahoma City Thunder,100000,50000,0
2022-23,Utah Jazz,4000,50000,0
2022-23,Washington Wizards,25000,25000,0
2022-23,Indiana Pacers,25000,50000,0
2022-23,Orlando Magic,200000,50000,0
2022-23,Portland Trail Blazers,10000,8000,0
2022-23,Charlotte Hornets,10000,15000,0
2022-23,San Antonio Spurs,25000,50000,0
2022-23,Detroit Pistons,75000,50000,0
2022-23,Houston Rockets,200000,50000,0
2023-24,Boston Celtics,550,400,1
2023-24,Dallas Mavericks,1200,2500,0
2023-24,Minnesota Timberwolves,6600,6600,0
2023-24,Indiana Pacers,15000,25000,0
2023-24,Denver Nuggets,500,550,0
2023-24,Oklahoma City Thunder,6600,8000,0
2023-24,New York Knicks,4000,5000,0
2023-24,Cleveland Cavaliers,2500,2500,0
2023-24,Los Angeles Clippers,1400,2000,0
2023-24,Milwaukee Bucks,600,400,0
2023-24,Philadelphia 76ers,1400,2000,0
2023-24,Phoenix Suns,850,650,0
2023-24,Los Angeles Lakers,1200,1300,0
2023-24,Miami Heat,2000,3000,0
2023-24,New Orleans Pelicans,3500,5000,0
2023-24,Orlando Magic,15000,35000,0
2023-24,Golden State Warriors,1200,1400,0
2023-24,Sacramento Kings,3000,5000,0
2023-24,Houston Rockets,10000,50000,0
2023-24,Atlanta Hawks,6600,8000,0
2023-24,Chicago Bulls,12500,15000,0
2023-24,Brooklyn Nets,10000,10000,0
2023-24,Utah Jazz,15000,25000,0
2023-24,Toronto Raptors,8000,10000,0
2023-24,Memphis Grizzlies,2000,2500,0
2023-24,San Antonio Spurs,20000,25000,0
2023-24,Portland Trail Blazers,10000,25000,0
2023-24,Washington Wizards,15000,50000,0
2023-24,Charlotte Hornets,50000,50000,0
2023-24,Detroit Pistons,50000,50000,0
2024-25,Oklahoma City Thunder,950,500,1
2024-25,Indiana Pacers,5000,6600,0
2024-25,New York Knicks,1600,800,0
2024-25,Minnesota Timberwolves,1000,1200,0
2024-25,Boston Celtics,310,310,0
2024-25,Cleveland Cavaliers,5000,3500,0
2024-25,Golden State Warriors,2500,4000,0
2024-25,Denver Nuggets,750,1100,0
2024-25,Los Angeles Lakers,2500,4000,0
2024-25,Los Angeles Clippers,2000,12500,0
2024-25,Houston Rockets,10000,8000,0
2024-25,Milwaukee Bucks,1000,1400,0
2024-25,Memphis Grizzlies,4000,3500,0
2024-25,Detroit Pistons,50000,100000,0
2024-25,Miami Heat,3500,5000,0
2024-25,Orlando Magic,5000,4000,0
2024-25,Phoenix Suns,2500,2000,0
2024-25,Sacramento Kings,5000,6600,0
2024-25,Atlanta Hawks,10000,50000,0
2024-25,Chicago Bulls,15000,100000,0
2024-25,Dallas Mavericks,950,1200,0
2024-25,San Antonio Spurs,10000,15000,0
2024-25,Toronto Raptors,25000,100000,0
2024-25,Portland Trail Blazers,50000,100000,0
2024-25,Philadelphia 76ers,1600,1000,0
2024-25,New Orleans Pelicans,5000,5000,0
2024-25,Charlotte Hornets,50000,100000,0
2024-25,Utah Jazz,25000,50000,0
2024-25,Brooklyn Nets,50000,100000,0
2024-25,Washington Wizards,50000,100000,0
2025-26,New York Knicks,700,900,1
2025-26,San Antonio Spurs,2500,6600,0
2025-26,Oklahoma City Thunder,240,240,0
2025-26,Cleveland Cavaliers,700,750,0
2025-26,Detroit Pistons,6600,3300,0
2025-26,Los Angeles Lakers,1500,1600,0
2025-26,Philadelphia 76ers,3500,4000,0
2025-26,Minnesota Timberwolves,1400,1300,0
2025-26,Boston Celtics,1600,6000,0
2025-26,Denver Nuggets,1600,550,0
2025-26,Houston Rockets,800,1400,0
2025-26,Atlanta Hawks,25000,4000,0
2025-26,Toronto Raptors,20000,10000,0
2025-26,Phoenix Suns,30000,50000,0
2025-26,Orlando Magic,1800,1800,0
2025-26,Portland Trail Blazers,50000,50000,0
2025-26,Charlotte Hornets,50000,100000,0
2025-26,Los Angeles Clippers,2500,1800,0
2025-26,Miami Heat,25000,20000,0
2025-26,Golden State Warriors,3000,2500,0
2025-26,Milwaukee Bucks,10000,5500,0
2025-26,Dallas Mavericks,3500,3500,0
2025-26,Chicago Bulls,30000,50000,0
